support,itemsets
0.016102620087336244,frozenset({'active dry yeast'})
0.21533842794759825,frozenset({'all - purpose flour'})
0.012827510917030568,frozenset({'allspice'})
0.014737991266375546,frozenset({'almonds'})
0.012463609898107715,frozenset({'apple cider vinegar'})
0.012554585152838428,frozenset({'apples'})
0.034934497816593885,frozenset({'bacon'})
0.07778384279475982,frozenset({'baking powder'})
0.06140829694323144,frozenset({'baking soda'})
0.01710334788937409,frozenset({'balsamic vinegar'})
0.011371906841339156,frozenset({'bananas'})
0.042485443959243085,frozenset({'basil'})
0.014465065502183407,frozenset({'bay leaf'})
0.015556768558951965,frozenset({'bay leaves'})
0.022016011644832606,frozenset({'beans'})
0.05176491994177584,frozenset({'beef'})
0.01601164483260553,frozenset({'beef broth'})
0.055131004366812224,frozenset({'bell pepper'})
0.01118995633187773,frozenset({'bell peppers'})
0.014919941775836972,frozenset({'blueberries'})
0.021106259097525473,frozenset({'bread crumbs'})
0.01064410480349345,frozenset({'broccoli'})
0.30867903930131,frozenset({'butter'})
0.014737991266375546,frozenset({'buttermilk'})
0.018286026200873363,frozenset({'cabbage'})
0.015283842794759825,frozenset({'canola oil'})
0.016648471615720525,frozenset({'carrot'})
0.04676128093158661,frozenset({'carrots'})
0.06768558951965066,frozenset({'cayenne pepper'})
0.05786026200873363,frozenset({'celery'})
0.05849708879184862,frozenset({'cheddar cheese'})
0.08606259097525473,frozenset({'chicken'})
0.055949781659388645,frozenset({'chicken broth'})
0.015101892285298398,frozenset({'chicken stock'})
0.030749636098981077,frozenset({'chili powder'})
0.010553129548762736,frozenset({'chives'})
0.024290393013100438,frozenset({'chocolate chips'})
0.0391193595342067,frozenset({'cilantro'})
0.10189228529839883,frozenset({'cinnamon'})
0.019741630276564774,frozenset({'cloves'})
0.01737627365356623,frozenset({'cocoa powder'})
0.010007278020378457,frozenset({'coconut'})
0.010280203784570598,frozenset({'coconut milk'})
0.036935953420669576,"frozenset({""confectioner s ' sugar""})"
0.050036390101892286,frozenset({'cooking spray'})
0.0137372634643377,frozenset({'corn'})
0.03702692867540029,frozenset({'cornstarch'})
0.04958151382823872,frozenset({'cream cheese'})
0.010553129548762736,frozenset({'cream of mushroom soup'})
0.048580786026200876,frozenset({'cumin'})
0.02074235807860262,frozenset({'dijon mustard'})
0.016648471615720525,frozenset({'ed'})
0.10807860262008734,frozenset({'egg'})
0.17594614264919942,frozenset({'eggs'})
0.23990174672489084,frozenset({'garlic'})
0.07532751091703056,frozenset({'garlic powder'})
0.0137372634643377,frozenset({'garlic salt'})
0.03866448326055313,frozenset({'ginger'})
0.011735807860262008,frozenset({'ginger root'})
0.014101164483260552,frozenset({'ham'})
0.027838427947598252,frozenset({'heavy cream'})
0.03411572052401747,frozenset({'honey'})
0.013919213973799126,frozenset({'hot pepper sauce'})
0.01291848617176128,frozenset({'italian seasoning'})
0.02438136826783115,frozenset({'ketchup'})
0.0563136826783115,frozenset({'kosher salt'})
0.03220524017467249,frozenset({'lemon'})
0.07705604075691412,frozenset({'lemon juice'})
0.016739446870451237,frozenset({'lemon zest'})
0.020287481804949055,frozenset({'lime'})
0.019650655021834062,frozenset({'lime juice'})
0.011280931586608443,frozenset({'maple syrup'})
0.0446688500727802,frozenset({'mayonnaise'})
0.15565866084425037,frozenset({'milk'})
0.02601892285298399,frozenset({'mozzarella cheese'})
0.029566957787481803,frozenset({'mushrooms'})
0.02583697234352256,frozenset({'mustard'})
0.04330422125181951,frozenset({'nutmeg'})
0.01037117903930131,frozenset({'oil'})
0.18931950509461426,frozenset({'olive oil'})
0.01118995633187773,frozenset({'olives'})
0.2528202328966521,frozenset({'onion'})
0.03238719068413391,frozenset({'onion powder'})
0.07059679767103348,frozenset({'onions'})
0.013919213973799126,frozenset({'orange juice'})
0.04958151382823872,frozenset({'oregano'})
0.054767103347889375,frozenset({'paprika'})
0.0590429403202329,frozenset({'parmesan cheese'})
0.063136826783115,frozenset({'parsley'})
0.010189228529839884,frozenset({'peaches'})
0.013464337700145561,frozenset({'peanut butter'})
0.011735807860262008,frozenset({'peas'})
0.018013100436681223,frozenset({'pecans'})
0.2267103347889374,frozenset({'pepper'})
0.033478893740902474,frozenset({'pepper flakes'})
0.010826055312954877,frozenset({'pineapple'})
0.01928675400291121,frozenset({'pork'})
0.05776928675400291,frozenset({'potatoes'})
0.01874090247452693,frozenset({'raisins'})
0.013282387190684133,frozenset({'red wine vinegar'})
0.027110625909752547,frozenset({'rice'})
0.012099708879184861,frozenset({'rice vinegar'})
0.011644832605531296,frozenset({'rolled oats'})
0.025927947598253277,frozenset({'rosemary'})
0.361990538573508,frozenset({'salt'})
0.14856259097525473,frozenset({'salt pepper'})
0.02046943231441048,frozenset({'sea salt'})
0.016739446870451237,frozenset({'sesame oil'})
0.010553129548762736,frozenset({'sesame seeds'})
0.018286026200873363,frozenset({'shrimp'})
0.04958151382823872,frozenset({'sour cream'})
0.05322052401746725,frozenset({'soy sauce'})
0.013373362445414847,frozenset({'spinach'})
0.02046943231441048,frozenset({'strawberries'})
0.3563500727802038,frozenset({'sugar'})
0.0425764192139738,frozenset({'thyme'})
0.013100436681222707,frozenset({'tomato'})
0.018013100436681223,frozenset({'tomato paste'})
0.02210698689956332,frozenset({'tomato sauce'})
0.05231077147016012,frozenset({'tomatoes'})
0.013555312954876273,frozenset({'turkey'})
0.012281659388646287,frozenset({'turmeric'})
0.12199781659388646,frozenset({'vanilla extract'})
0.11208151382823872,frozenset({'vegetable oil'})
0.03193231441048035,frozenset({'vinegar'})
0.026837700145560407,frozenset({'walnuts'})
0.21988719068413393,frozenset({'water'})
0.021743085880640466,frozenset({'whipping cream'})
0.02802037845705968,frozenset({'wine'})
0.039574235807860264,frozenset({'worcestershire sauce'})
0.025018195050946143,frozenset({'zucchini'})
