support,itemsets
0.361990538573508,frozenset({'salt'})
0.3563500727802038,frozenset({'sugar'})
0.30867903930131,frozenset({'butter'})
0.2528202328966521,frozenset({'onion'})
0.23990174672489084,frozenset({'garlic'})
0.2267103347889374,frozenset({'pepper'})
0.21988719068413393,frozenset({'water'})
0.21533842794759825,frozenset({'all - purpose flour'})
0.18931950509461426,frozenset({'olive oil'})
0.17594614264919942,frozenset({'eggs'})
0.15565866084425037,frozenset({'milk'})
0.14856259097525473,frozenset({'salt pepper'})
0.12199781659388646,frozenset({'vanilla extract'})
0.11208151382823872,frozenset({'vegetable oil'})
0.10807860262008734,frozenset({'egg'})
0.10189228529839883,frozenset({'cinnamon'})
0.08606259097525473,frozenset({'chicken'})
0.07778384279475982,frozenset({'baking powder'})
0.07705604075691412,frozenset({'lemon juice'})
0.07532751091703056,frozenset({'garlic powder'})
